key,2,3
#,Name,Description
offset,0,4
int32,str,str
0,,
1,高速通關,在挑戰時間內通關
2,標速通關,在標準時間內通關
3,十招足以,使用的青魔法不低於2種、不超過10種
4,四招足以,使用的青魔法不低於2種、不超過4種
5,未受傷害,未受到傷害
6,未曾恢復,未使用恢復體力的魔法
7,打斷高手,打斷敵人的詠唱
8,不緊不慢,未使用衝刺
9,火系大師,只使用火與無屬性青魔法通關
10,水系大師,只使用水與無屬性青魔法通關
11,土系大師,只使用土與無屬性青魔法通關
12,風系大師,只使用風與無屬性青魔法通關
13,冰系大師,只使用冰與無屬性青魔法通關
14,雷系大師,只使用雷與無屬性青魔法通關
15,元素大師,用出水、火、土、冰、風、雷屬性攻擊
16,技能大師,用出水、火、土、冰、風、雷、斬擊、突刺、打擊屬性攻擊
17,弱化高手,賦予敵人的弱化效果達到6種或更多
18,弱化專家,賦予敵人的弱化效果達到9種或更多
19,物理大師,只使用物理攻擊的青魔法通關
20,高階法師,只使用四星五星的青魔法通關
21,初階法師,只使用一星二星的青魔法通關
22,四面神通,用出不少於4種從面部放射的青魔法
23,艾瑪吉娜大師,
24,單調至極,
25,蠻神之力,
26,巨人狩獵,
27,觸手愛好者,
28,青之完美,
29,八面神通,用出不少於8種從面部放射的青魔法
30,恢復大師,用出絨絨治療、蛻皮、白風
31,亞歷山大愛好者,
32,青磷之青,
33,青之純粹,
