key,4
#,Name
offset,0
int32,str
0,自訂
1,基礎
2,簡約
3,古典
4,華美
5,豪華
6,乙太空間
7,日誌
8,職能：防護職業
9,職能：治療職業
10,職能：進攻職業
11,騎士（簡易）
12,戰士（簡易）
13,暗黑騎士（簡易）
14,絕槍戰士（簡易）
15,白魔法師（簡易）
16,學者（簡易）
17,占星術士（簡易）
18,賢者（簡易）
19,武僧（簡易）
20,龍騎士（簡易）
21,忍者（簡易）
22,武士（簡易）
23,釤鐮客（簡易）
24,吟遊詩人（簡易）
25,機工士（簡易）
26,舞者（簡易）
27,黑魔法師（簡易）
28,召喚師（簡易）
29,赤魔法師（簡易）
30,騎士（華麗）
31,戰士（華麗）
32,暗黑騎士（華麗）
33,絕槍戰士（華麗）
34,白魔法師（華麗）
35,學者（華麗）
36,占星術士（華麗）
37,賢者（華麗）
38,武僧（華麗）
39,龍騎士（華麗）
40,忍者（華麗）
41,武士（華麗）
42,釤鐮客（華麗）
43,吟遊詩人（華麗）
44,機工士（華麗）
45,舞者（華麗）
46,黑魔法師（華麗）
47,召喚師（華麗）
48,赤魔法師（華麗）
49,星極隊
50,靈極隊
51,隨身神典石1
52,隨身神典石2
53,巴哈姆特絕境戰
54,究極神兵絕境戰
55,亞歷山大絕境戰
56,幻想龍詩絕境戰
57,第1賽季水晶衝突：王者
58,第1賽季水晶衝突：勇者
59,第1賽季水晶衝突：獲獎者
60,第1賽季水晶衝突：青銅
61,第1賽季水晶衝突：白銀
62,第1賽季水晶衝突：黃金
63,第1賽季水晶衝突：白金
64,第1賽季水晶衝突：鑽石
65,第1賽季水晶衝突：水晶
66,第2賽季水晶衝突：王者
67,第2賽季水晶衝突：勇者
68,第2賽季水晶衝突：獲獎者
69,第2賽季水晶衝突：青銅
70,第2賽季水晶衝突：白銀
71,第2賽季水晶衝突：黃金
72,第2賽季水晶衝突：白金
73,第2賽季水晶衝突：鑽石
74,第2賽季水晶衝突：水晶
75,第3賽季水晶衝突：王者
76,第3賽季水晶衝突：勇者
77,第3賽季水晶衝突：獲獎者
78,第3賽季水晶衝突：青銅
79,第3賽季水晶衝突：白銀
80,第3賽季水晶衝突：黃金
81,第3賽季水晶衝突：白金
82,第3賽季水晶衝突：鑽石
83,第3賽季水晶衝突：水晶
84,水晶衝突：藍色
85,水晶衝突：紅色
86,多變迷宮：希拉狄哈水道
87,友好部族任務：奧密克戎族
88,幾何圖形：圓形
89,漫畫
90,稀有度1（普通品質）
91,稀有度2（普通品質）
92,稀有度3（普通品質）
93,稀有度4（普通品質）
94,稀有度5（普通品質）
95,稀有度1（優質）
96,稀有度2（優質）
97,稀有度3（優質）
98,稀有度4（優質）
99,稀有度5（優質）
100,音樂
101,咖啡廳
102,
103,
104,
105,
106,
107,
108,
109,
110,
111,
112,
113,
114,
115,
116,
117,
118,
119,
120,
121,
122,
123,
124,
125,
126,
127,
128,
129,
130,
131,
132,
133,
134,
135,
136,
137,
138,
139,
140,
141,
142,
143,
144,
145,
146,
147,
148,
149,
150,
