key,0,1
#,Image,Description
offset,4,0
int32,Image,str
0,0,""
1,86801,"<hex:0248020803><hex:0249020403>南方博茲雅戰線是採用多個特殊規則和專用系統的任務！<hex:02100103>請充分理解該任務的特徵，戰勝加雷馬帝國第四軍團吧！<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103><hex:0248020F03>※下一頁將介紹南方博茲雅戰線的特殊規則。<hex:02100103>請務必仔細閱讀，以便充分體驗該任務。<hex:0248020103>"
2,86801,"<hex:0248020803><hex:0249020403>■參加本任務時的職業等級將被同步到80級！<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>南方博茲雅戰線任務中，只要任意職業達到71級即可參加。<hex:02100103>在參加任務時，當前職業等級將被同步到80級。<hex:02100103>此外，不論現有裝備如何，都將被自動調整至最合適的品級，<hex:02100103>因此無需提前準備裝備。<hex:02100103><hex:02100103><hex:0248020F03>※參加任務的職業可以使用當前職業80級以內（包含80級）的全部技能。<hex:0248020103>"
3,86802,"<hex:0248020803><hex:0249020403>■獲得戰果提升義軍等級！<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>南方博茲雅戰線任務中專門設定了一種義軍等級。<hex:02100103>戰果可以通過參加「衝突戰」、「緊急遭遇戰」等大規模作戰行動，<hex:02100103>並取得一定的評價後得到提升。<hex:02100103><hex:02100103><hex:0248020F03>※僅打倒魔獸或帝國兵無法獲得戰果。<hex:02100103>戰果將在作戰行動完成時獲得，敬請注意！<hex:0248020103>"
4,86802,"戰果積累到一定程度時，<hex:02100103>可以向據點內的義軍司令部軍官（義軍等級）報告。<hex:02100103>當戰果達到一定程度，義軍等級將會提升。<hex:02100103><hex:02100103>隨著義軍等級的提升，行動的範圍會越來越廣，任務也會繼續推進。<hex:02100103>為了今後更為有利地展開作戰活動，請積極地提升義軍等級。<hex:02100103><hex:02100103><hex:0248020F03>※義軍等級必須經過戰果報告才能提升。<hex:02100103>當戰果積累到一定程度時，請不要忘記向軍官報告！<hex:0248020103>"
5,86802,"<hex:0248020803><hex:0249020403>■活用職業的等級同步規則！<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>在完成大規模作戰行動的「衝突戰」以及「緊急遭遇戰」時<hex:02100103>可以獲得提升職業等級的經驗值。<hex:02100103><hex:02100103>獲得的經驗值與戰果不同，無需經過報告即可像通常一樣，<hex:02100103>在積累到規定的數值時將自動提升職業等級。<hex:02100103><hex:02100103>如果目前還有未滿80級的職業，請務必積極地活用等級同步規則！"
