key,0,1
#,Name,Description
offset,0,4
int32,str,str
100000,,
100001,製作,消耗耐久以推動作業進展<hex:02100103>效率：<hex:020812E4E94509FF0B><hex:020807E0E94620796503><hex:6503><hex:02100103>成功率：100%
100002,加工,消耗耐久以提高製品品質<hex:02100103>效率：100<hex:02100103>成功率：100%
100003,精修,恢復30點耐久
100004,中級加工,消耗耐久以提高製品品質<hex:02100103>效率：125<hex:02100103>成功率：100%<hex:02100103><hex:024804F201F803><hex:024904F201F903>連擊條件：<hex:0249020103><hex:0248020103>加工　<hex:024804F201F803><hex:024904F201F903>連擊中消耗製作力：<hex:0249020103><hex:0248020103>18
100005,精修II,恢復60點耐久
100006,風之印記,消耗耐久以推動作業進展<hex:02100103>處理風屬性配方時效率變為2倍<hex:02100103>效率：100（200）<hex:02100103>成功率：90%
100007,中級製作,消耗耐久以推動作業進展<hex:02100103>效率：150<hex:02100103>成功率：90%
100008,上級加工,消耗耐久以提高製品品質<hex:02100103>效率：150<hex:02100103>成功率：90%
100009,比爾格的祝福,消耗耐久以提高製品品質<hex:02100103>隨內靜的效果提高效率，內靜每生效過一次效率提升20<hex:02100103>使用之後會結束內靜效果<hex:02100103>效率：100（100～）<hex:02100103>成功率：90%
100010,觀察,放空一次作業，不做任何事
100011,,
100012,,
100013,,
100014,,
100015,製作,消耗耐久以推動作業進展<hex:02100103>效率：<hex:020812E4E9450AFF0B><hex:020807E0E94620796503><hex:6503><hex:02100103>成功率：100%
100016,加工,消耗耐久以提高製品品質<hex:02100103>效率：100<hex:02100103>成功率：100%
100017,精修,恢復30點耐久
100018,中級加工,消耗耐久以提高製品品質<hex:02100103>效率：125<hex:02100103>成功率：100%<hex:02100103><hex:024804F201F803><hex:024904F201F903>連擊條件：<hex:0249020103><hex:0248020103>加工　<hex:024804F201F803><hex:024904F201F903>連擊中消耗製作力：<hex:0249020103><hex:0248020103>18
100019,精修II,恢復60點耐久
100020,火之印記,消耗耐久以推動作業進展<hex:02100103>處理火屬性配方時效率變為2倍<hex:02100103>效率：100（200）<hex:02100103>成功率：90%
100021,中級製作,消耗耐久以推動作業進展<hex:02100103>效率：150<hex:02100103>成功率：90%
100022,上級加工,消耗耐久以提高製品品質<hex:02100103>效率：150<hex:02100103>成功率：90%
100023,觀察,放空一次作業，不做任何事
100024,,
100025,,
100026,,
100027,,
100028,,
100029,,
100030,製作,消耗耐久以推動作業進展<hex:02100103>效率：<hex:020812E4E9450BFF0B><hex:020807E0E94620796503><hex:6503><hex:02100103>成功率：100%
100031,加工,消耗耐久以提高製品品質<hex:02100103>效率：100<hex:02100103>成功率：100%
100032,精修,恢復30點耐久
100033,高速製作,消耗耐久以推動作業進展<hex:02100103>效率：250<hex:02100103>成功率：50%
100034,中級加工,消耗耐久以提高製品品質<hex:02100103>效率：125<hex:02100103>成功率：100%<hex:02100103><hex:024804F201F803><hex:024904F201F903>連擊條件：<hex:0249020103><hex:0248020103>加工　<hex:024804F201F803><hex:024904F201F903>連擊中消耗製作力：<hex:0249020103><hex:0248020103>18
100035,精修II,恢復60點耐久
100036,冰之印記,消耗耐久以推動作業進展<hex:02100103>處理冰屬性配方時效率變為2倍<hex:02100103>效率：100（200）<hex:02100103>成功率：90%
100037,中級製作,消耗耐久以推動作業進展<hex:02100103>效率：150<hex:02100103>成功率：90%
100038,上級加工,消耗耐久以提高製品品質<hex:02100103>效率：150<hex:02100103>成功率：90%
100039,漸進,消耗耐久完成剩餘工作量的1/3左右（上限：1000）<hex:02100103>成功率：90%
100040,觀察,放空一次作業，不做任何事
100041,,
100042,,
100043,,
100044,,
100045,製作,消耗耐久以推動作業進展<hex:02100103>效率：<hex:020812E4E9450DFF0B><hex:020807E0E94620796503><hex:6503><hex:02100103>成功率：100%
100046,加工,消耗耐久以提高製品品質<hex:02100103>效率：100<hex:02100103>成功率：100%
100047,精修,恢復30點耐久
100048,中級加工,消耗耐久以提高製品品質<hex:02100103>效率：125<hex:02100103>成功率：100%<hex:02100103><hex:024804F201F803><hex:024904F201F903>連擊條件：<hex:0249020103><hex:0248020103>加工　<hex:024804F201F803><hex:024904F201F903>連擊中消耗製作力：<hex:0249020103><hex:0248020103>18
100049,精修II,恢復60點耐久
100050,土之印記,消耗耐久以推動作業進展<hex:02100103>處理土屬性配方時效率變為2倍<hex:02100103>效率：100（200）<hex:02100103>成功率：90%
100051,中級製作,消耗耐久以推動作業進展<hex:02100103>效率：150<hex:02100103>成功率：90%
100052,上級加工,消耗耐久以提高製品品質<hex:02100103>效率：150<hex:02100103>成功率：90%
100053,觀察,放空一次作業，不做任何事
100054,,
100055,,
100056,,
100057,,
100058,,
100059,,
100060,製作,消耗耐久以推動作業進展<hex:02100103>效率：<hex:020812E4E9450EFF0B><hex:020807E0E94620796503><hex:6503><hex:02100103>成功率：100%
100061,加工,消耗耐久以提高製品品質<hex:02100103>效率：100<hex:02100103>成功率：100%
100062,精修,恢復30點耐久
100063,模範製作,消耗耐久以推動作業進展<hex:02100103>一定會成功<hex:02100103>效率：90<hex:02100103>成功率：100%
100064,中級加工,消耗耐久以提高製品品質<hex:02100103>效率：125<hex:02100103>成功率：100%<hex:02100103><hex:024804F201F803><hex:024904F201F903>連擊條件：<hex:0249020103><hex:0248020103>加工　<hex:024804F201F803><hex:024904F201F903>連擊中消耗製作力：<hex:0249020103><hex:0248020103>18
100065,精修II,恢復60點耐久
100066,雷之印記,消耗耐久以推動作業進展<hex:02100103>處理雷屬性配方時效率變為2倍<hex:02100103>效率：100（200）<hex:02100103>成功率：90%
100067,中級製作,消耗耐久以推動作業進展<hex:02100103>效率：150<hex:02100103>成功率：90%
100068,上級加工,消耗耐久以提高製品品質<hex:02100103>效率：150<hex:02100103>成功率：90%
100069,模範製作II,消耗耐久以推動作業進展<hex:02100103>一定會成功<hex:02100103>效率：120<hex:02100103>成功率：100%
100070,觀察,放空一次作業，不做任何事
100071,,
100072,,
100073,,
100074,,
100075,製作,消耗耐久以推動作業進展<hex:02100103>效率：<hex:020812E4E9450CFF0B><hex:020807E0E94620796503><hex:6503><hex:02100103>成功率：100%
100076,加工,消耗耐久以提高製品品質<hex:02100103>效率：100<hex:02100103>成功率：100%
100077,精修,恢復30點耐久
100078,中級加工,消耗耐久以提高製品品質<hex:02100103>效率：125<hex:02100103>成功率：100%<hex:02100103><hex:024804F201F803><hex:024904F201F903>連擊條件：<hex:0249020103><hex:0248020103>加工　<hex:024804F201F803><hex:024904F201F903>連擊中消耗製作力：<hex:0249020103><hex:0248020103>18
100079,精修II,恢復60點耐久
100080,中級製作,消耗耐久以推動作業進展<hex:02100103>效率：150<hex:02100103>成功率：90%
100081,上級加工,消耗耐久以提高製品品質<hex:02100103>效率：150<hex:02100103>成功率：90%
100082,觀察,放空一次作業，不做任何事
100083,堅實製作,消耗耐久以推動作業進展40<hex:02100103>成功率：90%
100084,,
100085,,
100086,,
100087,,
100088,,
100089,,
100090,製作,消耗耐久以推動作業進展<hex:02100103>效率：<hex:020812E4E9450FFF0B><hex:020807E0E94620796503><hex:6503><hex:02100103>成功率：100%
100091,加工,消耗耐久以提高製品品質<hex:02100103>效率：100<hex:02100103>成功率：100%
100092,精修,恢復30點耐久
100093,中級加工,消耗耐久以提高製品品質<hex:02100103>效率：125<hex:02100103>成功率：100%<hex:02100103><hex:024804F201F803><hex:024904F201F903>連擊條件：<hex:0249020103><hex:0248020103>加工　<hex:024804F201F803><hex:024904F201F903>連擊中消耗製作力：<hex:0249020103><hex:0248020103>18
100094,精修II,恢復60點耐久
100095,水之印記,消耗耐久以推動作業進展<hex:02100103>處理水屬性配方時效率變為2倍<hex:02100103>效率：100（200）<hex:02100103>成功率：90%
100096,中級製作,消耗耐久以推動作業進展<hex:02100103>效率：150<hex:02100103>成功率：90%
100097,上級加工,消耗耐久以提高製品品質<hex:02100103>效率：150<hex:02100103>成功率：90%
100098,秘訣,<hex:024804F201F403><hex:024904F201F503>只有在「高品質」及以上的狀態下才能使用<hex:0249020103><hex:0248020103><hex:02100103>恢復20點製作力
100099,觀察,放空一次作業，不做任何事
100100,,
100101,,
100102,,
100103,,
100104,,
100105,製作,消耗耐久以推動作業進展<hex:02100103>效率：<hex:020812E4E94510FF0B><hex:020807E0E94620796503><hex:6503><hex:02100103>成功率：100%
100106,加工,消耗耐久以提高製品品質<hex:02100103>效率：100<hex:02100103>成功率：100%
100107,精修,恢復30點耐久
100108,倉促,消耗耐久以提高製品品質<hex:02100103>不會消耗製作力，但是成功率比較低<hex:02100103>效率：100<hex:02100103>成功率：50%
