key,1,2
#,BigFish{OnReach},BigFish{OnEnd}
offset,0,4
int32,str,str
0,,
1,リーチ狀態になった！（翻訳不要）,リーチ狀態が終了した！（翻訳不要）
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,感覺到附近有比大瀧太郎還要大的魚在活動！,大魚好像消失了……
18,,
19,,
20,,
21,感覺到附近有稱霸這一帶的大魚在活動！,大魚好像消失了……
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,水中出現了深深的黑暗！,水中又重新發出微弱的光芒。
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,水中發出了黃金的光輝！,黃金的光輝消失了……
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,感覺到附近有正在捕獵的大魚在活動！,大魚好像消失了……
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,感覺到附近有比加諾還要大的魚在活動！,大魚好像消失了……
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,感覺到附近有傳說級的大魚在活動！,大魚好像消失了……
109,,
110,,
111,,
112,聞到了一股老鼠的臭味！,老鼠的臭味消失了……
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,感覺到岩漿底部有一股危險的氣息！,危險的氣息消失了……
125,,
126,,
127,河底發出了微弱的光輝！,微弱的光輝消失了……
128,,
129,,
130,,
131,,
132,,
133,,
134,感覺到附近有稱霸這一帶的大魚在活動！,大魚好像消失了……
135,,
136,,
137,,
138,,
139,感覺到有好運的預感！,好運的預感消失了……
140,,
141,,
142,,
143,,
144,,
145,,
146,感覺到一股難以名狀的氣息！,難以名狀的氣息消失了……
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,,
159,,
160,,
161,,
162,,
163,,
164,,
165,,
166,,
167,,
168,水中閃耀著七彩光輝！,七彩光輝消失了……
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,,
178,,
179,,
180,,
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,水中蠕動著岩石一般的東西！,岩石一般的東西不見了……
191,,
192,,
193,,
194,,
195,,
196,湖底穿過了扭曲的黑影！,扭曲的黑影不見了……
197,,
198,,
199,,
200,,
201,,
202,,
203,,
204,,
205,,
206,,
207,,
208,,
209,,
210,,
211,,
212,水中有像燈光一樣的眼睛游過！,像燈光一樣的眼睛不見了……
213,,
214,,
215,從沙子深處感受到了強烈的視線！,強烈的視線消失了！
216,,
217,,
218,,
219,,
220,,
221,,
222,,
223,,
224,,
225,,
226,,
227,,
228,,
229,,
230,,
231,,
232,水中有影子在劇烈翻滾！,水中劇烈翻滾的影子不見了……
233,,
234,,
235,,
236,,
237,看到了一個像是魯加族的男性！,像是魯加族的男性不見了……
238,海面上閃耀著星辰般的神秘光輝！,星辰般的神秘光輝不見了……
239,像是利維亞桑的身影從船下掠過！,像是利維亞桑的身影不見了……
240,海底有像是珊瑚的東西在動！,像是珊瑚的東西不見了……
241,海裡有像是甲胄反射的暗淡光輝！,像是甲胄反射的暗淡光輝不見了……
242,海底有像是石塊的東西在動！,像是石塊的東西不見了……
243,像是流星一般的赤紅色光芒從船下掠過！,像是流星一般的赤紅色光芒不見了……
244,海裡有已滅絕生物的身影！,已滅絕生物的身影不見了……
245,,
246,從海裡感知到了凶暴的氣息！,凶暴的氣息消失了……
247,海裡有巨大觸手的影子從船下掠過！,巨大觸手的影子不見了……
248,與像是哥布林族一樣的眼睛對視了！,像是哥布林族一樣的眼睛不見了……
249,有不可能出現在海裡的生物從船下掠過！,不可能出現在海裡的生物不見了……
250,海裡有像是美麗葉子一樣的身影在跳舞！,像是葉子一樣的身影不見了……
251,從海裡傳來了像是在咬碎什麼東西的沉悶聲音！,沉悶的聲音消失了……
252,,
253,,
254,,
255,,
256,,
257,,
258,,
259,,
260,,
261,,
262,,
263,,
264,,
265,,
266,,
267,,
268,,
269,,
270,,
271,,
272,,
273,,
274,,
275,,
276,,
277,,
278,,
279,,
280,,
281,,
282,,
283,,
284,,
285,,
286,,
287,,
288,,
289,,
290,,
291,,
292,,
293,,
294,,
295,,
296,,
297,,
298,,
299,,
300,,
301,,
302,,
303,,
304,,
10000,,
10001,,
10002,,
10003,,
10004,,
10005,,
10006,,
10007,,
10008,,
10009,,
10010,,
10011,,
10012,,
10013,,
10014,,
10015,,
10016,,
10017,,
10018,,
10019,,
10020,,
10021,雲海中有扭曲的黑影掠過！,扭曲的黑影不見了……
10022,,
10023,一瞬間觀察到了彷彿是以雷電般的速度穿梭於雲海的生物！,以雷電般的速度穿梭於雲海的生物不見了……
10024,,
10025,,
10026,,
10027,,
10028,,
10029,,
10030,,
