key,1
#,
offset,0
int32,str
0,
1,科瑞爾山的最高處有一隻小陸行鳥動彈不得。<hex:02100103>躲避炸彈，救出小陸行鳥！
2,科瑞爾山的最高處有一隻小陸行鳥動彈不得。<hex:02100103>躲避炸彈，救出小陸行鳥！
3,科瑞爾山的最高處有一隻小陸行鳥動彈不得。<hex:02100103>躲避炸彈，救出小陸行鳥！
4,科瑞爾山的最高處有一隻小陸行鳥動彈不得。<hex:02100103>躲避炸彈，救出小陸行鳥！
5,科瑞爾山的最高處有一隻小陸行鳥動彈不得。<hex:02100103>躲避炸彈，救出小陸行鳥！
6,科瑞爾山的最高處有一隻小陸行鳥動彈不得。<hex:02100103>躲避炸彈，救出小陸行鳥！
7,科瑞爾山的最高處有一隻小陸行鳥動彈不得。<hex:02100103>躲避炸彈，救出小陸行鳥！
8,巨人柱的最高處有一隻小陸行鳥動彈不得。<hex:02100103>躲避炸彈，救出小陸行鳥！
9,巨人柱的最高處有一隻小陸行鳥動彈不得。<hex:02100103>躲避炸彈，救出小陸行鳥！
10,巨人柱的最高處有一隻小陸行鳥動彈不得。<hex:02100103>躲避炸彈，救出小陸行鳥！
11,巨人柱的最高處有一隻小陸行鳥動彈不得。<hex:02100103>躲避炸彈，救出小陸行鳥！
12,巨人柱的最高處有一隻小陸行鳥動彈不得。<hex:02100103>躲避炸彈，救出小陸行鳥！
13,巨人柱的最高處有一隻小陸行鳥動彈不得。<hex:02100103>躲避炸彈，救出小陸行鳥！
14,巨人柱的最高處有一隻小陸行鳥動彈不得。<hex:02100103>躲避炸彈，救出小陸行鳥！
