key,5
#,FolkloreBook
offset,0
int32,str
2000,礦物傳承錄·庫爾札斯篇
2001,礦物傳承錄·庫爾札斯篇
2002,草木傳承錄·庫爾札斯篇
2003,草木傳承錄·庫爾札斯篇
2004,礦物傳承錄·龍堡篇
2005,礦物傳承錄·龍堡篇
2006,草木傳承錄·龍堡篇
2007,草木傳承錄·龍堡篇
2008,礦物傳承錄·阿巴拉提亞篇
2009,礦物傳承錄·阿巴拉提亞篇
2010,草木傳承錄·阿巴拉提亞篇
2011,草木傳承錄·阿巴拉提亞篇
2012,礦物傳承錄·基拉巴尼亞篇
2013,礦物傳承錄·基拉巴尼亞篇
2014,草木傳承錄·基拉巴尼亞篇
2015,草木傳承錄·基拉巴尼亞篇
2016,礦物傳承錄·奧薩德篇
2017,礦物傳承錄·奧薩德篇
2018,草木傳承錄·奧薩德篇
2019,草木傳承錄·奧薩德篇
2020,礦物傳承錄·諾弗蘭特篇
2021,礦物傳承錄·諾弗蘭特篇
2022,草木傳承錄·諾弗蘭特篇
2023,草木傳承錄·諾弗蘭特篇
2024,礦物傳承錄·北洋地域&伊爾薩巴德篇
2025,礦物傳承錄·北洋地域&伊爾薩巴德篇
2026,草木傳承錄·北洋地域&伊爾薩巴德篇
2027,草木傳承錄·北洋地域&伊爾薩巴德篇
2028,礦物傳承錄·星外天域篇
2029,礦物傳承錄·星外天域篇
2030,草木傳承錄·星外天域篇
2031,草木傳承錄·星外天域篇
2032,礦物傳承錄·古代世界篇
2033,礦物傳承錄·古代世界篇
2034,草木傳承錄·古代世界篇
2035,草木傳承錄·古代世界篇
2200,重建伊修加德·礦物資源
2201,重建伊修加德·礦物資源
2202,重建伊修加德·草木資源
2203,重建伊修加德·草木資源
2204,重建伊修加德·礦物資源
2205,重建伊修加德·礦物資源
2206,重建伊修加德·草木資源
2207,重建伊修加德·草木資源
2208,天鋼工具·礦物資源1
2209,天鋼工具·礦物資源1
2210,天鋼工具·草木資源1
2211,天鋼工具·草木資源1
2212,重建伊修加德·礦物資源
2213,重建伊修加德·礦物資源
2214,重建伊修加德·草木資源
2215,重建伊修加德·草木資源
2216,天鋼工具·礦物資源2
2217,
2218,天鋼工具·草木資源2
2219,
2220,51級～
2221,51級～
2222,51級～
2223,51級～
2224,56級～
2225,56級～
2226,56級～
2227,56級～
2228,61級～
2229,61級～
2230,61級～
2231,61級～
2232,66級～
2233,66級～
2234,66級～
2235,66級～
2236,71級～
2237,71級～
2238,71級～
2239,71級～
2240,76級～
2241,76級～
2242,76級～
2243,76級～
2244,81級～
2245,81級～
2246,81級～
2247,81級～
2248,重建伊修加德·礦物資源
2249,重建伊修加德·礦物資源
2250,重建伊修加德·草木資源
2251,重建伊修加德·草木資源
2252,天鋼工具·礦物資源3
2253,
2254,天鋼工具·草木資源3
2255,
2256,86級～
2257,86級～
2258,86級～
2259,86級～
2260,
2261,
2262,
2263,
2264,
2265,
2266,
2267,
2268,
2269,
2270,
2271,
2272,
2273,
2274,
2275,
2276,
2277,
2278,
2279,
2280,
2281,
2282,
2283,
2284,
2285,
2286,
2287,
2288,
2289,
2290,
2291,
2292,
2293,
2294,
2295,
2296,
2297,
2298,
2299,
2300,
2301,
2302,
2303,
2304,
2305,
2306,
2307,
2308,
2309,
2310,
2311,
2312,
2313,
2314,
2315,
2316,
2317,
2318,
2319,
2320,
2321,
2322,
2323,
2324,
2325,
2326,
2327,
2328,
2329,
2330,
2331,
2332,
2333,
2334,
2335,
2336,
2337,
2338,
2339,
2340,
2341,
2342,
2343,
2344,
2345,
2346,
2347,
2348,
2349,
2350,
2500,魚類傳承錄·庫爾札斯篇
2501,魚類傳承錄·龍堡篇
2502,魚類傳承錄·阿巴拉提亞篇
2503,魚類傳承錄·基拉巴尼亞篇
2504,魚類傳承錄·基拉巴尼亞篇
2505,魚類傳承錄·奧薩德篇
2506,魚類傳承錄·奧薩德篇
2507,魚類傳承錄·諾弗蘭特篇
2508,魚類傳承錄·諾弗蘭特篇
2509,魚類傳承錄·北洋地域&伊爾薩巴德篇
2510,魚類傳承錄·北洋地域&伊爾薩巴德篇
2511,魚類傳承錄·星外天域篇
2512,魚類傳承錄·星外天域篇
2513,魚類傳承錄·古代世界篇
2514,魚類傳承錄·古代世界篇
