key,10
#,
offset,0
int32,str
0,無
1,使命開始！
2,使命完成！
3,
4,重新挑戰！
5,接受任務！
6,任務完成！
7,臨危受命！
8,危命完成！
9,
10,升級！
11,機遇臨門！
12,天賜良機！
13,
14,出發！
15,抵達終點！
16,挑戰成功！
17,成功！
18,失敗……
19,全力一擊！
20,打得漂亮！
21,打得好！
22,
23,輕銳小隊
24,滿編小隊
25,等級下降……
26,FINAL FANTASY XIV ONLINE（白色）
27,FINAL FANTASY XIV ONLINE（黑色）
28,
29,
30,九宮幻卡：★
31,九宮幻卡：★★
32,九宮幻卡：★★★
33,九宮幻卡：★★★★
34,九宮幻卡：★★★★★
35,九宮幻卡：1
36,九宮幻卡：2
37,九宮幻卡：3
38,九宮幻卡：4
39,九宮幻卡：5
40,九宮幻卡：6
41,九宮幻卡：7
42,九宮幻卡：8
43,九宮幻卡：9
44,九宮幻卡：A
45,九宮幻卡：0
46,
47,
48,
49,
50,國旗：格里達尼亞
51,國旗：利姆薩·羅敏薩
52,國旗：烏爾達哈
53,國旗：伊修加德
54,國旗：阿拉米格
55,國旗：黃金港
56,國旗：多瑪
57,國旗：水晶都
58,國旗：游末邦
59,國旗：博茲雅
60,表情：平常
61,表情：微笑
62,表情：笑顏
63,表情：飛眼
64,
65,表情：自信
66,表情：無畏
67,表情：閉目
68,表情：意外
69,表情：吃驚
70,表情：嘟嘴
71,表情：認真
72,表情：柔和
73,表情：滿足
74,表情：咧嘴
75,表情：沉思
76,
77,
78,
79,
80,
81,
82,
83,
84,
85,
86,
87,
88,
89,
90,符號：嘆號
91,符號：問號
92,符號：嘆問號
93,符號：問嘆號
94,符號：省略號
95,
96,
97,
98,
99,
100,
101,
102,
103,
104,
105,
106,
107,
108,
109,
110,氣泡：標準
111,氣泡：思考
112,氣泡：吃驚
113,
114,
115,
116,
117,
118,
119,
120,
121,
122,
123,
124,
125,
126,
127,
128,
129,
130,裝飾：閃亮1
131,裝飾：心形
132,裝飾：光泡
133,裝飾：足跡
134,裝飾：閃亮1
135,裝飾：墨鏡
136,裝飾：心形
137,裝飾：光泡
138,裝飾：口紅
139,裝飾：足跡
140,裝飾：箭頭
141,裝飾：三角形
142,裝飾：四邊形
143,裝飾：五角形
144,裝飾：花朵
145,裝飾：圓形虛化
146,裝飾：音符1
147,裝飾：音符2
148,裝飾：音符
149,裝飾：三角形
150,裝飾：四邊形
151,裝飾：五角形
152,裝飾：花朵
153,裝飾：圓形虛化
154,裝飾：閃亮2
155,裝飾：閃亮2
156,裝飾：閃亮3
157,裝飾：閃亮3
158,裝飾：閃亮4
159,裝飾：閃亮4
160,裝飾：星星
161,裝飾：彩色紙屑
162,
163,
164,
165,
166,
167,
168,
169,
170,食品：貓魅風味山珍烤串
171,食品：羚羊肉排
172,食品：渡渡鳥蛋煎蛋卷
173,食品：煎跳蜥蛋
174,食品：鹽烤公主鱒
175,食品：貓魅風味海產烤串
176,食品：高山蘿蔔沙拉
177,食品：貓魅風味森鮮烤串
178,食品：煎餅
179,食品：心形卷餅
180,食品：騎士麵包
181,食品：俾斯麥雞蛋三明治
182,食品：蘋果撻
183,食品：翡翠豆湯
184,食品：生薑餅乾
185,食品：愛心巧克力
186,食品：南瓜曲奇
187,食品：橙汁
188,食品：香草茶
189,食品：炸魚套餐
190,食品：伊修加德鬆餅
191,食品：長棍麵包
192,
193,
194,
195,
196,
197,
198,
199,
200,
201,
202,
203,
204,
205,
206,
207,
208,
209,
210,
211,
212,
213,
214,
215,
216,
217,
218,
219,
220,
221,寵物：自走人偶001號
222,寵物：巧兒陸行鳥
223,寵物：爆彈仔
224,寵物：貝希摩斯寶寶
225,寵物：魔界花骨朵
226,寵物：灰塵兔
227,寵物：幼小仙人掌
228,寵物：小殼蟹
229,寵物：發芽小猩猩
230,寵物：惡魔磚塊
231,寵物：手指游標
232,寵物：盧恩人玩偶
233,寵物：小狼
234,寵物：長鬚小豹
235,寵物：冬貝利玩偶
236,寵物：魔法掃帚
237,寵物：莫古力娃娃
238,寵物：食果花鼠
239,寵物：貓小胖
240,寵物：河童童
241,寵物：追蹤系統
242,寵物：猴面雀兒
243,寵物：葉小妖妖
244,寵物：獺獺
245,寵物：迷你鯰魚精
246,寵物：迷你庫洛
247,寵物：豆豆柴
248,寵物：隆卡的水蛇？
249,寵物：大河狸
250,寵物：鯊魚指揮官
251,寵物：凱特西娃娃
252,寵物：青鳥
253,寵物：渡渡鳥雛
254,寵物：幼碧企鵝
255,寵物：睡羊羊
256,寵物：小小蔓德拉
257,寵物：不說話的蜂鳥
258,寵物：夢魔娃娃
259,寵物：小小吉爾伽美什
260,寵物：洋蔥王子
261,寵物：茄子騎士
262,寵物：蒜頭明星
263,寵物：番茄國王
264,寵物：蔓德拉王后
265,寵物：迷你奧爾特羅斯
266,寵物：恩奇都
267,寵物：小小阿托莫斯
268,寵物：風箏小貓
269,寵物：小熊貓
270,寵物：企鵝王子
271,寵物：波奇
272,寵物：疣豬小子
273,寵物：旅雀兒
274,寵物：迷你奇美拉
275,寵物：小雪童子
276,寵物：小妖狐
277,寵物：鯨頭鸛
278,寵物：豬小仙
279,寵物：沙狐
280,寵物：莫莫拉·莫拉！！！
281,
282,
283,
284,
285,
286,
287,
288,
289,
290,
291,
292,
293,
294,
295,
296,
297,
298,
299,
300,
301,
302,
303,
304,
305,
306,
307,
308,
309,
310,
311,
312,
313,
314,
315,
316,
317,
318,
319,
320,
321,
322,
323,
324,
325,
326,
327,
328,
329,
330,
331,
332,
333,
334,
335,
336,
337,
338,
339,
340,
341,
342,
343,
344,
345,
346,
347,
348,
349,
350,
351,
352,
353,
354,
355,
356,
357,
358,
359,
360,
361,
362,
363,
364,
365,
366,
367,
368,
369,
370,紙膠帶：格里達尼亞風格
371,紙膠帶：利姆薩·羅敏薩風格
372,紙膠帶：烏爾達哈風格
373,紙膠帶：伊修加德風格
374,紙膠帶：阿拉米格風格
375,紙膠帶：黃金港風格
376,紙膠帶：多瑪風格
377,紙膠帶：水晶都風格
378,紙膠帶：游末邦風格
379,紙膠帶：博茲雅風格
380,
381,
382,
383,
384,
385,
386,
387,
388,
389,
390,
391,
392,
393,
394,
395,
396,
397,
398,
399,
400,藥品：恢復藥
401,藥品：高級恢復藥
402,藥品：超級恢復藥
403,藥品：上級恢復藥
404,藥品：乙太藥
405,藥品：高級乙太藥
406,藥品：超級乙太藥
407,藥品：上級乙太藥
408,藥品：聖靈藥
409,藥品：幻想藥
410,
411,
412,
413,
414,
415,
416,
417,
418,
419,
420,
421,
422,
423,
424,
425,
426,
427,
428,
429,
430,主線任務：可以領取
431,主線任務：可以進行
432,主線任務：可以完成
433,支線任務：可以領取
434,支線任務：可以進行
435,支線任務：可以完成
436,開放功能任務：可以領取
437,開放功能任務：可以進行
438,開放功能任務：可以完成
439,
440,
441,
442,
443,
444,
445,
446,
447,
448,
449,
450,
451,
452,
453,
454,
455,
456,
457,
458,
459,
460,漫畫符號：汗
461,漫畫符號：焦急
462,漫畫符號：熱鬧
463,漫畫符號：驚訝
464,漫畫符號：煩惱
465,漫畫符號：嘆氣
466,漫畫符號：察覺
467,漫畫符號：音符
468,漫畫符號：星星
469,漫畫符號：豎線
470,
471,
472,
473,
474,
475,
476,
477,
478,
479,
480,
481,
482,
483,
484,
485,
486,
487,
488,
489,
490,
491,
492,
493,
494,
495,
496,
497,
498,
499,
