key,0,1
#,Objective,Requirement
offset,0,4
int32,str,str
0,,
1,千魚祝福,達成條件：獲得的漁分超過2500。
2,萬魚賀喜,達成條件：獲得的漁分超過5000。
3,珍魚,達成條件：釣到一條★★★★魚。
4,傳說魚,達成條件：釣到一條★★★★★魚。
5,瞬釣,達成條件：在幻海流中釣到15條魚。
6,爆釣王,達成條件：在幻海流中釣到35條魚。
7,豐漁：加拉迪翁灣,達成條件：小隊全體在加拉迪翁灣合計釣到10種以上的魚類。
8,豐漁：梅爾托爾海峽南,達成條件：小隊全體在梅爾托爾海峽南合計釣到10種以上的魚類。
9,豐漁：梅爾托爾海峽北,達成條件：小隊全體在梅爾托爾海峽北合計釣到10種以上的魚類。
10,豐漁：羅塔諾海,達成條件：小隊全體在羅塔諾海合計釣到10種以上的魚類。
11,傳說中的大漁旗,達成條件：小隊全體合計釣到3條以上★★★★★的魚。
12,利姆萊茵的寵愛之子,達成條件：由自己引發幻海流。
13,八爪旅人,達成條件：小隊全體合計釣到150只以上的章魚類。
14,捕鯊人,達成條件：小隊全體合計釣到200條以上的鯊魚類。
15,水母狂魔,達成條件：小隊全體合計釣到150只以上的水母類。
16,龍馬驚神,達成條件：小隊全體合計釣到100只以上的海龍或海馬。
17,初級海釣師,達成條件：完成1種船上任務。
18,中級海釣師,達成條件：完成2種船上任務。
19,上級海釣師,達成條件：完成3種船上任務。
20,氣魨四海,達成條件：小隊全體合計釣到250只以上的魨類。
21,橫路不通,達成條件：小隊全體合計釣到250只以上的蟹類。
22,只有我最鰩擺,達成條件：個人合計釣到25只以上的鰩魚。
23,豐漁：加拉迪翁灣,達成條件：小隊全體在加拉迪翁灣合計釣到9種以上的魚類。（已根據小隊人數進行調整）
24,豐漁：加拉迪翁灣,達成條件：小隊全體在加拉迪翁灣合計釣到8種以上的魚類。（已根據小隊人數進行調整）
25,豐漁：梅爾托爾海峽南,達成條件：小隊全體在梅爾托爾海峽南合計釣到9種以上的魚類。（已根據小隊人數進行調整）
26,豐漁：梅爾托爾海峽南,達成條件：小隊全體在梅爾托爾海峽南合計釣到8種以上的魚類。（已根據小隊人數進行調整）
27,豐漁：梅爾托爾海峽北,達成條件：小隊全體在梅爾托爾海峽北合計釣到9種以上的魚類。（已根據小隊人數進行調整）
28,豐漁：梅爾托爾海峽北,達成條件：小隊全體在梅爾托爾海峽北合計釣到8種以上的魚類。（已根據小隊人數進行調整）
29,豐漁：羅塔諾海,達成條件：小隊全體在羅塔諾海合計釣到9種以上的魚類。（已根據小隊人數進行調整）
30,豐漁：羅塔諾海,達成條件：小隊全體在羅塔諾海合計釣到8種以上的魚類。（已根據小隊人數進行調整）
31,豐漁：謝爾達萊群島,達成條件：小隊全體在謝爾達萊群島合計釣到10種以上的魚類。
32,豐漁：謝爾達萊群島,達成條件：小隊全體在謝爾達萊群島合計釣到9種以上的魚類。（已根據小隊人數進行調整）
33,豐漁：謝爾達萊群島,達成條件：小隊全體在謝爾達萊群島合計釣到8種以上的魚類。（已根據小隊人數進行調整）
34,豐漁：緋汐海,達成條件：小隊全體在緋汐海合計釣到10種以上的魚類。
35,豐漁：緋汐海,達成條件：小隊全體在緋汐海合計釣到9種以上的魚類。（已根據小隊人數進行調整）
36,豐漁：緋汐海,達成條件：小隊全體在緋汐海合計釣到8種以上的魚類。（已根據小隊人數進行調整）
37,豐漁：羅斯利特灣,達成條件：小隊全體在羅斯利特灣合計釣到10種以上的魚類。
38,豐漁：羅斯利特灣,達成條件：小隊全體在羅斯利特灣合計釣到9種以上的魚類。（已根據小隊人數進行調整）
39,豐漁：羅斯利特灣,達成條件：小隊全體在羅斯利特灣合計釣到8種以上的魚類。（已根據小隊人數進行調整）
