key,0,1
#,Name,Description
offset,0,4
int32,str,str
0,,
1,回收,收回已經招出的召喚獸
2,跟隨,讓召喚獸跟隨自己
3,移動,讓召喚獸移動到指定位置
4,待命,讓召喚獸在原地待命
5,截擊,讓召喚獸在召喚者發動攻擊或受到攻擊後才開始進行戰鬥
6,等待指示,讓召喚獸在接到召喚者的指示前不進行戰鬥
7,自主戰鬥,讓召喚獸自主攻擊
8,協助戰鬥,讓召喚獸進行攻擊， 不過一部分技能會在得到命令後才會發動
9,突風,對目標發動風屬性魔法攻擊　<hex:024804F201F803><hex:024904F201F903>威力：<hex:0249020103><hex:0248020103>90
10,吹飛,對目標發動風屬性魔法攻擊　<hex:024804F201F803><hex:024904F201F903>威力：<hex:0249020103><hex:0248020103>80<hex:02100103><hex:024804F201F803><hex:024904F201F903>追加效果：<hex:0249020103><hex:0248020103>將目標擊退15米<hex:02100103><hex:024804F201F403><hex:024904F201F503>「協助戰鬥」狀態下在接到命令之前不會發動該技能<hex:0249020103><hex:0248020103>
11,下行突風,對目標及其周圍的敵人發動風屬性範圍魔法攻擊　<hex:024804F201F803><hex:024904F201F903>威力：<hex:0249020103><hex:0248020103>80<hex:02100103><hex:024804F201F403><hex:024904F201F503>「協助戰鬥」狀態下在接到命令之前不會發動該技能<hex:0249020103><hex:0248020103>
12,綠寶石之光,一定時間內，令目標受到的魔法傷害增加10%<hex:02100103><hex:024804F201F803><hex:024904F201F903>持續時間：<hex:0249020103><hex:0248020103>15秒<hex:02100103><hex:024804F201F403><hex:024904F201F503>「協助戰鬥」狀態下在接到命令之前不會發動該技能<hex:0249020103><hex:0248020103>
13,利爪,對目標發動土屬性魔法攻擊　<hex:024804F201F803><hex:024904F201F903>威力：<hex:0249020103><hex:0248020103>70<hex:02100103><hex:024804F201F803><hex:024904F201F903>追加效果：<hex:0249020103><hex:0248020103>提升仇恨
14,黃寶石之光,對自身周圍的敵人發動土屬性範圍魔法攻擊　<hex:024804F201F803><hex:024904F201F903>威力：<hex:0249020103><hex:0248020103>60<hex:02100103><hex:024804F201F803><hex:024904F201F903>追加效果：<hex:0249020103><hex:0248020103>提升仇恨<hex:02100103><hex:024804F201F403><hex:024904F201F503>「協助戰鬥」狀態下在接到命令之前不會發動該技能<hex:0249020103><hex:0248020103>
15,硬化,一定時間內召喚獸所受到的傷害減輕20%　<hex:024804F201F803><hex:024904F201F903>持續時間：<hex:0249020103><hex:0248020103>20秒<hex:02100103><hex:024804F201F403><hex:024904F201F503>「協助戰鬥」狀態下在接到命令之前不會發動該技能<hex:0249020103><hex:0248020103>
16,衝撞,對目標發動土屬性魔法攻擊　<hex:024804F201F803><hex:024904F201F903>威力：<hex:0249020103><hex:0248020103>60<hex:02100103><hex:024804F201F803><hex:024904F201F903>追加效果：<hex:0249020103><hex:0248020103>眩暈　<hex:024804F201F803><hex:024904F201F903>持續時間：<hex:0249020103><hex:0248020103>2秒<hex:02100103><hex:024804F201F403><hex:024904F201F503>「協助戰鬥」狀態下在接到命令之前不會發動該技能<hex:0249020103><hex:0248020103>
17,烈風刃,對目標發動風屬性魔法攻擊　<hex:024804F201F803><hex:024904F201F903>威力：<hex:0249020103><hex:0248020103>110
18,震蕩波,對目標發動風屬性魔法攻擊　<hex:024804F201F803><hex:024904F201F903>威力：<hex:0249020103><hex:0248020103>90<hex:02100103><hex:024804F201F803><hex:024904F201F903>追加效果：<hex:0249020103><hex:0248020103>將目標擊退15米<hex:02100103><hex:024804F201F403><hex:024904F201F503>「協助戰鬥」狀態下在接到命令之前不會發動該技能<hex:0249020103><hex:0248020103>
19,大氣風斬,對目標及其周圍的敵人發動風屬性範圍魔法攻擊　<hex:024804F201F803><hex:024904F201F903>威力：<hex:0249020103><hex:0248020103>90<hex:02100103><hex:024804F201F403><hex:024904F201F503>「協助戰鬥」狀態下在接到命令之前不會發動該技能<hex:0249020103><hex:0248020103>
20,歪風,一定時間內，令目標受到的魔法傷害增加10%<hex:02100103><hex:024804F201F803><hex:024904F201F903>持續時間：<hex:0249020103><hex:0248020103>15秒<hex:02100103><hex:024804F201F403><hex:024904F201F503>「協助戰鬥」狀態下在接到命令之前不會發動該技能<hex:0249020103><hex:0248020103>
21,大氣爆發,對目標及其周圍的敵人發動風屬性範圍魔法攻擊　<hex:024804F201F803><hex:024904F201F903>威力：<hex:0249020103><hex:0248020103>250<hex:02100103>召喚者使用<hex:024804F201F403><hex:024904F201F503>「內力迸發」<hex:0249020103><hex:0248020103>時發動
22,碎岩,對目標發動土屬性魔法攻擊　<hex:024804F201F803><hex:024904F201F903>威力：<hex:0249020103><hex:0248020103>85<hex:02100103><hex:024804F201F803><hex:024904F201F903>追加效果：<hex:0249020103><hex:0248020103>提升仇恨
