key,0,1,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
#,Name,Id,Script{Instruction}[0],Script{Instruction}[1],Script{Instruction}[2],Script{Instruction}[3],Script{Instruction}[4],Script{Instruction}[5],Script{Instruction}[6],Script{Instruction}[7],Script{Instruction}[8],Script{Instruction}[9],Script{Instruction}[10],Script{Instruction}[11],Script{Instruction}[12],Script{Instruction}[13],Script{Instruction}[14],Script{Instruction}[15],Script{Instruction}[16],Script{Instruction}[17],Script{Instruction}[18],Script{Instruction}[19],Script{Instruction}[20],Script{Instruction}[21],Script{Instruction}[22],Script{Instruction}[23],Script{Instruction}[24],Script{Instruction}[25],Script{Instruction}[26],Script{Instruction}[27],Script{Instruction}[28],Script{Instruction}[29],Script{Instruction}[30],Script{Instruction}[31],Script{Instruction}[32],Script{Instruction}[33],Script{Instruction}[34],Script{Instruction}[35],Script{Instruction}[36],Script{Instruction}[37],Script{Instruction}[38],Script{Instruction}[39],Script{Instruction}[40],Script{Instruction}[41],Script{Instruction}[42],Script{Instruction}[43],Script{Instruction}[44],Script{Instruction}[45],Script{Instruction}[46],Script{Instruction}[47],Script{Instruction}[48],Script{Instruction}[49]
offset,0,2420,4,12,20,28,36,44,52,60,68,76,84,92,100,108,116,124,132,140,148,156,164,172,180,188,196,204,212,220,228,236,244,252,260,268,276,284,292,300,308,316,324,332,340,348,356,364,372,380,388,396
int32,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str
65536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65537,招募冒險者,SubFst010_00001,ACTOR0,SEQ_0_ACTOR0,ACTOR1,SEQ_1_ACTOR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65539,首席園藝工弗弗茶,ClsHrv001_00003,CLASSJOB,ACTOR0,ACTOR1,UNLOCK_IMAGE_GATHER_BOOK,UNLOCK_IMAGE_CLASS_HRV,HOW_TO_CLASS_CHANGE,HOW_TO_GEAR_SET,UNLOCK_IMAGE_GEAR_SET,LOGMESSAGE_GATHERING_NOTE_PAGE_UNLOCK,GEARSET_UNLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65540,帶上笑容,ClsHrv002_00004,ACTOR0,ACTOR1,RITEM0,LOC_POS_ACTOR1,LOC_POS_CAM1,LOC_POS_EOBJ1,LOC_EOBJ1,LOC_ACTOR0,LOC_ACTION1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65541,戰前的準備,ClsHrv003_00005,ACTOR0,ACTOR1,RITEM0,LOC_POS_ACTOR1,LOC_POS_CAM1,LOC_POS_EOBJ1,LOC_EOBJ1,LOC_ACTOR0,LOC_ACTION1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65542,自私自利的下場,ClsHrv004_00006,ACTOR0,ACTOR1,RITEM0,LOC_ACTOR1,LOC_FACE1,LOC_FACE0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65543,園藝工的修養,ClsHrv005_00007,ACTOR0,ACTOR1,RITEM0,LOC_POS_ACTOR1,LOC_POS_CAM1,LOC_POS_EOBJ1,LOC_EOBJ1,LOC_ACTOR0,LOC_ACTOR1,LOC_ACTION1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65544,飄上雲海的芳香,ClsHrv006_00008,ACTOR0,ACTOR1,RITEM0,LOC_POS_ACTOR1,LOC_POS_CAM1,LOC_POS_EOBJ1,LOC_EOBJ1,LOC_ACTOR0,LOC_ACTOR1,LOC_ACTION1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65545,自然的洗禮,ClsHrv007_00009,ACTOR0,ACTOR1,RITEM0,LOC_POS_ACTOR1,LOC_POS_CAM1,LOC_POS_ACTOR2,LOC_POS_EOBJ1,LOC_EOBJ1,LOC_POS_STAND,LOC_STAND,LOC_ACTOR0,LOC_ACTION1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65546,凱旋的晚宴,ClsHrv008_00010,ACTOR0,RITEM0,ACTOR1,LOC_POS_ACTOR2,LOC_POS_EOBJ1,LOC_POS_STAND,LOC_EOBJ1,LOC_STAND,LOC_ACTION1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65547,菜餚中的回憶,ClsHrv009_00011,ACTOR0,RITEM0,ACTOR1,ITEM0,LOC_POS_EOBJ1,LOC_POS_EOBJ2,LOC_EOBJ1,LOC_EOBJ2,LOC_ACTOR0,LOC_ACTION1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65548,戰火仍未平息,ClsHrv010_00012,ACTOR0,ACTOR1,RITEM0,LOC_POS_ACTOR2,LOC_POS_EOBJ1,LOC_POS_STAND,LOC_EOBJ1,LOC_STAND,LOC_ACTION1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65549,希望的種子,ClsHrv011_00013,ACTOR0,ACTOR1,ACTOR2,RITEM0,ACTOR3,EOBJECT0,LOC_FACE0,LOC_FACE1,LOC_ACTOR1,NCUT_EVENT_001,HOWTO_55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
