key,0,1,2,3,4
#,Name{Action},Icon,Addon,QuickChatTransient,
offset,0,4,8,14,12
int32,str,Image,Addon,QuickChatTransient,uint16
0,"已失效的快捷發言",783,0,0,0
1,"大家好！",9901,11030,1,1
2,"辛苦了！",9902,11031,2,2
3,"謝謝！",9903,11032,3,3
4,"漂亮！",9904,11033,5,4
5,"彙報對戰用額外技能1",9927,11034,6,0
6,"彙報極限技",9906,11035,6,6
7,"瞄準攻擊補給箱",9907,11036,10,0
8,"瞄準防禦補給箱",9908,11037,11,0
9,"瞄準奮戰補給箱",9909,11038,12,0
10,"瞄準狼心",9910,11039,13,0
11,"攻擊防護職業",9911,11040,14,0
12,"攻擊治療職業",9912,11041,15,0
13,"攻擊近戰職業",9913,11042,16,0
14,"攻擊遠程職業",9914,11043,17,0
15,"拖住防護職業",9915,11044,19,0
16,"拖住治療職業",9916,11045,20,0
17,"拖住近戰職業",9917,11046,21,0
18,"拖住遠程職業",9918,11047,22,0
19,"我來拾取戰章",9919,11048,24,0
20,"請去拾取戰章",9920,11049,25,0
21,"呼籲進攻",9921,11050,13,21
22,"呼籲撤退",9922,11051,14,22
23,"彙報魔力",9923,11052,7,23
24,"彙報技力",9924,11053,9,0
25,"攻擊目標",9925,11054,10,25
26,"干擾目標",9926,11055,11,26
27,"彙報對戰用額外技能2",9928,11056,7,0
28,"呼籲集中攻擊目標",9935,11057,28,0
29,"呼籲停止集中攻擊",9936,11058,29,0
30,"道歉",9965,11713,4,30
31,"自身前進",9966,11714,8,31
32,"自身後撤",9967,11715,9,32
33,"我來押運戰術水晶",9968,11716,15,33
34,"請去押運戰術水晶",9969,11717,16,34
35,"掩護目標",9964,11718,12,35
