key,3
#,Name
offset,0
int32,str
0,
1,素雪白
2,蒼白灰
3,古菩灰
4,石板灰
5,木炭灰
6,煤煙黑
7,玫瑰粉
8,丁香紫
9,羅蘭莓
10,衛月紅
11,鐵鏽紅
12,果酒紅
13,珊瑚粉
14,鮮血紅
15,鮭魚粉
16,日落橙
17,台地紅
18,樹皮棕
19,巧克力
20,鐵鏽棕
21,鈷鐵棕
22,軟木棕
23,盧恩棕
24,奧猴棕
25,山羊棕
26,南瓜橙
27,橡果棕
28,果園棕
29,山栗棕
30,哥布林
31,頁岩棕
32,鼴鼠棕
33,沃土棕
34,骸骨白
35,黃沙棕
36,陸行鳥黃
37,蜂蜜黃
38,玉米黃
39,猛豹黃
40,奶油黃
41,日影黃
42,萄乾棕
43,泥沼綠
44,妖精綠
45,青檸綠
46,苔蘚綠
47,牧草綠
48,橄欖綠
49,沼澤綠
50,蘋果綠
51,仙人掌
52,獵人綠
53,口花綠
54,金龜綠
55,地神綠
56,深林綠
57,天上藍
58,綠松藍
59,魔花綠
60,寒冰藍
61,天空藍
62,海霧藍
63,孔雀藍
64,羅海藍
65,腐屍藍
66,青磷藍
67,靛青藍
68,油墨藍
69,盜龍藍
70,東洲藍
71,風暴藍
72,虛空藍
73,皇室藍
74,午夜藍
75,陰影藍
76,深淵藍
77,薰衣草
78,憂鬱紫
79,醋栗紫
80,虹膜紫
81,葡萄紫
82,蓮花粉
83,蜂鳥粉
84,仙子梅
85,帝王紫
86,寶石紅
87,櫻桃粉
88,絲雀黃
89,香草黃
90,龍騎藍
91,松石藍
92,砲銅黑
93,珍珠白
94,金屬銅
95,
96,
97,
98,
99,
100,
101,無瑕白
102,煤玉黑
103,柔彩粉
104,黑暗紅
105,黑暗棕
106,柔彩綠
107,黑暗綠
108,柔彩藍
109,黑暗藍
110,柔彩紫
111,黑暗紫
112,閃耀銀
113,閃耀金
114,金屬紅
115,金屬橙
116,金屬黃
117,金屬綠
118,金屬藍
119,金屬靛
120,金屬紫
