key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
#,Script,Instruction[0],Instruction[1],Instruction[2],Instruction[3],Instruction[4],Instruction[5],Instruction[6],Instruction[7],Instruction[8],Instruction[9],Instruction[10],Instruction[11],Instruction[12],Instruction[13],Instruction[14],Instruction[15],Instruction[16],Instruction[17],Instruction[18],Instruction[19],Instruction[20],Instruction[21],Instruction[22],Instruction[23],Instruction[24],Instruction[25],Instruction[26],Instruction[27],Instruction[28],Instruction[29],Instruction[30],Instruction[31],Instruction[32],Instruction[33],Instruction[34],Instruction[35],Instruction[36],Instruction[37],Instruction[38],Instruction[39]
offset,5360,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128,136,144,152,160,168,176,184,192,200,208,216,224,232,240,248,256,264,272,280,288,296,304,312
int32,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str
1703936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703937,StoryMain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
