key,0,1
#,Destination,Location
offset,0,4
int32,str,str
0,,
1,A　潔白淺灘,A
2,B　溺沒海1,B
3,C　溺沒海2,C
4,D　無光海盆,D
5,E　溺沒海3,E
6,F　利米拉拉海溝南端,F
7,G　傘峽,G
8,H　俘虜島,H
9,I　石人島,I
10,J　無名沉船,J
11,K　湛藍淺灘 ,K
12,L　神秘海盆 ,L
13,M　溺沒海4,M
14,N　利米拉拉海溝中部,N
15,O　探索號殘骸,O
16,P　樹叢島,P
17,Q　金山島,Q
18,R　海軍的秘密港口,R
19,S　溺沒海5,S
20,T　煉獄島,T
21,U　溺沒海6,U
22,V　利米拉拉海溝大傾斜,V
23,W　溺沒海7,W
24,X　輝砂海盆,X
25,Y　殘照白谷,Y
26,Z　前進號的殘骸,Z
27,AA　變理海域,AA
28,AB　利米拉拉海溝最深部,AB
29,AC　石造寺院遺跡,AC
30,AD　古代寶物庫,AD
31,,
32,A　佐佐納恩島南端,A
33,B　風行者的殘骸,B
34,C　佐佐納恩島北端,C
35,D　灰海1,D
36,E　火葬爐海溝南端,E
37,F　灰海2,F
38,G　灰海3,G
39,H　修道士墓碑,H
40,I　火葬爐海溝中部,I
41,J　神父的岩窟,J
42,K　灰海4,K
43,L　沙礫海盆,L
44,M　單只手套島,M
45,N　破洞襪子島,N
46,O　走私客的交易場,O
47,P　磨破袍子島,P
48,Q　商貿神的煙管,Q
49,R　走錨海域,R
50,S　貪婪胃,S
51,T　藍洞,T
52,,
53,A　祭壇島,A
54,B　章魚的陶罐,B
55,C　翠浪海1,C
56,D　惡魔章魚的狩獵場,D
57,E　吸盤礁,E
58,F　惡魔章魚的睡床,F
59,G　海神的釣鉤,G
60,H　翠浪海2,H
61,I　盲目峽灣,I
62,J　翠浪海3,J
63,K　穆厄吉恩的鍛鐵場,K
64,L　海神的浮標,L
65,M　翠浪海4,M
66,N　海藻樹林,N
67,O　翠浪海5,O
68,P　鈍刀切岸,P
69,Q　駐風港,Q
70,R　龍骨塚,R
71,S　翠浪海6,S
72,T　海獸的靈園,T
73,,
74,A　耳蠟漁場,A
75,B　妖歌海1,B
76,C　妖歌海2,C
77,D　花叢島,D
78,E　海魔之口,E
79,F　漂流海域,F
80,G　告死礁,G
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
