key,0,1
#,Text,Type
offset,0,4
int32,str,str
0,,
1,Update_activityStart,activityStart
2,Update_activityEnd,activityEnd
3,Update_activityResume,activityResume
4,Update_activityAvailabilityChange,activityAvailabilityChange
5,Update_activityTerminate,activityTerminate
6,Update_MainQuest_Progress,custom
7,Update_LargestLv_Battle,custom
8,Update_LargestLv_Crafter,custom
9,Update_LargestLv_Gatherer,custom
10,Update_LargestGCRank,custom
11,Update_Fate_Complete,custom
12,Update_Dangeon_Complete,custom
13,Update_Craft_CollectCount,custom
14,Update_Gather_CollectCount,custom
15,Update_Raid8_200N_Complete,custom
16,Update_Raid8_220N_Complete,custom
17,Update_Raid8_240N_Complete,custom
18,Update_Raid8_220H_Complete,custom
19,Update_Raid8_300N_Complete,custom
20,Update_Raid8_320N_Complete,custom
21,Update_Raid8_340N_Complete,custom
22,Update_Raid8_300H_Complete,custom
23,Update_Raid8_320H_Complete,custom
24,Update_Raid8_340H_Complete,custom
25,Update_Raid8_400N_Complete,custom
26,Update_Raid8_420N_Complete,custom
27,Update_Raid8_440N_Complete,custom
28,Update_Raid8_400H_Complete,custom
29,Update_Raid8_420H_Complete,custom
30,Update_Raid8_440H_Complete,custom
31,Update_Raid8_500N_Complete,custom
32,Update_Raid8_520N_Complete,custom
33,Update_Raid8_540N_Complete,custom
34,Update_Raid8_500H_Complete,custom
35,Update_Raid8_520H_Complete,custom
36,Update_Raid8_540H_Complete,custom
37,Update_Raid24_210_Complete,custom
38,Update_Raid24_230_Complete,custom
39,Update_Raid24_250_Complete,custom
40,Update_Raid24_310_Complete,custom
41,Update_Raid24_330_Complete,custom
42,Update_Raid24_350_Complete,custom
43,Update_Raid24_410_Complete,custom
44,Update_Raid24_430_Complete,custom
45,Update_Raid24_450_Complete,custom
46,Update_Raid24_510_Complete,custom
47,Update_Raid24_530_Complete,custom
48,Update_Raid24_550_Complete,custom
49,Update_TTCard_CollectCount,custom
50,Update_MobHunt_600A_SlayCount,custom
51,Update_MobHunt_600S_SlayCount,custom
52,Update_Fate_Complete_HNM_m5f1,custom
53,Update_Fate_Complete_HNM_u5f2,custom
54,Update_FaithLv_90,custom
55,Update_TreasureHunt_600_Complete,custom
56,Update_Raid8_600N_Complete,custom
57,Update_Raid8_600H_Complete,custom
58,Update_Adventure_600_Complete,custom
59,Update_Trial_610_Complete,custom
60,Update_Raid24_610_Complete,custom
61,Update_CustomDelivery_Satisfaction_610,custom
