key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_CMNDEFSDSADDNPC01_00806_ALPHINAUD_000_025,預想到與蒼穹騎士的戰鬥嗎……<hex:02100103>這總會讓我不自覺地想起決鬥裁判的事呢。<hex:02100103>他們的實力毫無疑問是一流的……
1,TEXT_CMNDEFSDSADDNPC01_00806_HAURCHEFANT_000_026,身為伊修加德的騎士，<hex:02100103>要說在教皇廳裡拔劍不會有絲毫猶豫那是騙人的。
2,TEXT_CMNDEFSDSADDNPC01_00806_HAURCHEFANT_000_027,但如果是為了百姓和朋友的話就另當別論了。<hex:02100103>自從成為騎士的那一刻起，<hex:02100103>我就宣誓要為了保護他們而戰！
3,TEXT_CMNDEFSDSADDNPC01_00806_YSHTOLA_000_030,
4,TEXT_CMNDEFSDSADDNPC01_00806_ALPHINAUD_000_031,
5,TEXT_CMNDEFSDSADDNPC01_00806_PEROROGGO_000_032,
6,TEXT_CMNDEFSDSADDNPC01_00806_ALPHINAUD_000_040,
7,TEXT_CMNDEFSDSADDNPC01_00806_CAVALRYC02342_000_050,
8,TEXT_CMNDEFSDSADDNPC01_00806_CAVALRYC02342_000_052,
9,TEXT_CMNDEFSDSADDNPC01_00806_TALK_ACTOR,
